neaddress,count,normalized_address,latitude,longitude
"Россия, респ. Татарстан, г. Набережные Челны, ул. 40 лет Победы, д. 55А, Башня на кровле МТС ПАО",76,"ул. 40 лет Победы 40 лет Победы, п. Татарстан",45.054041,39.008093
"Россия, обл. Новосибирская, р-н Коченевский, тер. снт Дорожник,   опора, МАО (башня/мачта на пригрузах) БИК ООО",75,,44.932351,7.537081
"Россия, обл. Свердловская, г. Екатеринбург, ул. Советская, д. 8",75,"ул. Советская Советская, г. Екатеринбург",56.917072,60.480397
"Россия, обл. Новосибирская, р-н Колыванский,   Скалинский с/с, опора, МАО (башня/мачта на пригрузах) БИК ООО",74,,44.932351,7.537081
"Россия, обл. Свердловская, г. Екатеринбург, ул. Посадская, стр. 23, Кровля здания МТС ПАО",74,"ул. Посадская Посадская, г. Екатеринбург",56.820562,60.57728
"Россия, обл. Свердловская, г. Екатеринбург, ул. Фролова, д. 31",72,"ул. Фролова Фролова, г. Екатеринбург",56.839292,60.545938
"Россия, обл. Ростовская, р-н Миллеровский,   1 км юго-восточнее Красная Заря х, 865-й км трассы М-4 ""Дон"", столб, Столб металлический БИК ООО",72,,44.932351,7.537081
"Россия, край Краснодарский, р-н Отрадненский, ст-ца Бесстрашная, ул. Мира, д. 8А,   столб, Столб железобетонный БИК ООО",72,"ул. Мира Мира, р-н Отрадненский",44.389582,41.523295
"Россия, респ. Татарстан, г. Набережные Челны, пр-т Мира,   в районе дома 33, ОДН, ОДН Межрегиональная инфраструктурная группа ООО",71,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Галимджана Баруди, д. 21, Кровля здания Прочие",71,"ул. Галимджана Баруди Галимджана Баруди, п. Татарстан",14.268079,9.965515
"Россия, респ. Татарстан, р-н Балтасинский, с Ципья,   2 км на северо-восток от с. Ципья, башня, Башня БИК ООО",71,,44.932351,7.537081
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Ивановского,   в районе дома 32А, ОДН, ОДН ПраймТелеком Юг ООО",71,"ул. Ивановского Ивановского, г. Ростов-на-Дону",47.24071,39.694774
"Россия, обл. Новосибирская, р-н Тогучинский, с Березиково, ул. Майская,   0.06 км восточнее дома 21, опора, Столб металлический БИК ООО",70,"ул. Майская Майская, р-н Тогучинский",55.250582,84.407609
"Россия, респ. Татарстан, г. Казань, ул. Короленко, д. 120,   опора, Столб металлический БИК ООО",70,"ул. Короленко Короленко, п. Татарстан",55.620464,52.596791
"Россия, край Краснодарский, г. Краснодар, ул. Ростовское Шоссе,   столб, Столб железобетонный БИК ООО",70,"ул. Ростовское Шоссе Ростовское Шоссе, г. Краснодар",45.149936,39.056745
"Россия, обл. Новосибирская, р-н Новосибирский, с Сенчанка, ул. Зеленая, д. 32,   опора, МАО (башня/мачта на пригрузах) БИК ООО",70,"ул. Зеленая Зеленая, р-н Новосибирский",55.018417,83.386251
"Россия, край Краснодарский, г. Армавир, ул. Гоголя,   0,002 км севернее дома 332, ОДН-24, ОДН Прочие",70,"ул. Гоголя Гоголя, г. Армавир",44.984294,41.127946
"Россия, край Краснодарский, р-н Белореченский, г. Белореченск, ул. Ленина, д. 80, Кровля здания Прочие",69,"ул. Ленина Ленина, р-н Белореченский",44.956396,39.578163
"Россия, обл. Ростовская, р-н Пролетарский, г. Пролетарск, ул. Думенко, д. 138, Столб железобетонный БИК ООО",69,"ул. Думенко Думенко, р-н Пролетарский",46.702527,41.727059
"Россия, край Краснодарский, р-н Ленинградский, ст-ца Ленинградская, ул. Светлая, д. 66,   столб, Столб железобетонный БИК ООО",69,"ул. Светлая Светлая, р-н Ленинградский",46.398999,39.308615
"Россия, обл. Свердловская, г. Екатеринбург, п Шабровский, ул. Кирова, д. 80,   сооружение №1, башня, Башня БИК ООО",69,"ул. Кирова Кирова, г. Екатеринбург",56.839705,60.556233
"Россия, респ. Татарстан, г. Казань, ул. Федосеевская,   КНС МУП ""ВОДОКАНАЛ"", Башня на кровле МТС ПАО",68,"ул. Федосеевская Федосеевская, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. Механизаторов,   0.09 км северо-восточнее дома 72, башня, Башня БИК ООО",67,"ул. Механизаторов Механизаторов, г. Новосибирск",54.867342,82.964025
